replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,exploration/env_infos/final/reward_run Mean,exploration/env_infos/final/reward_run Std,exploration/env_infos/final/reward_run Max,exploration/env_infos/final/reward_run Min,exploration/env_infos/initial/reward_run Mean,exploration/env_infos/initial/reward_run Std,exploration/env_infos/initial/reward_run Max,exploration/env_infos/initial/reward_run Min,exploration/env_infos/reward_run Mean,exploration/env_infos/reward_run Std,exploration/env_infos/reward_run Max,exploration/env_infos/reward_run Min,exploration/env_infos/final/reward_ctrl Mean,exploration/env_infos/final/reward_ctrl Std,exploration/env_infos/final/reward_ctrl Max,exploration/env_infos/final/reward_ctrl Min,exploration/env_infos/initial/reward_ctrl Mean,exploration/env_infos/initial/reward_ctrl Std,exploration/env_infos/initial/reward_ctrl Max,exploration/env_infos/initial/reward_ctrl Min,exploration/env_infos/reward_ctrl Mean,exploration/env_infos/reward_ctrl Std,exploration/env_infos/reward_ctrl Max,exploration/env_infos/reward_ctrl Min,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,evaluation/env_infos/final/reward_run Mean,evaluation/env_infos/final/reward_run Std,evaluation/env_infos/final/reward_run Max,evaluation/env_infos/final/reward_run Min,evaluation/env_infos/initial/reward_run Mean,evaluation/env_infos/initial/reward_run Std,evaluation/env_infos/initial/reward_run Max,evaluation/env_infos/initial/reward_run Min,evaluation/env_infos/reward_run Mean,evaluation/env_infos/reward_run Std,evaluation/env_infos/reward_run Max,evaluation/env_infos/reward_run Min,evaluation/env_infos/final/reward_ctrl Mean,evaluation/env_infos/final/reward_ctrl Std,evaluation/env_infos/final/reward_ctrl Max,evaluation/env_infos/final/reward_ctrl Min,evaluation/env_infos/initial/reward_ctrl Mean,evaluation/env_infos/initial/reward_ctrl Std,evaluation/env_infos/initial/reward_ctrl Max,evaluation/env_infos/initial/reward_ctrl Min,evaluation/env_infos/reward_ctrl Mean,evaluation/env_infos/reward_ctrl Std,evaluation/env_infos/reward_ctrl Max,evaluation/env_infos/reward_ctrl Min,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
2000,14.285488,14.243135,-4.0548744,0.00015900304,0.004513146,0.011811331,-0.014500391,0.0057864976,0.0042893947,0.020281654,-0.0065760054,3.6897526,0.8199691,7.0322886,1.6204016,-4.054958,0.58149016,-2.6325464,-5.451919,-0.00060693384,0.0028167728,0.0057469225,-0.009858181,0.00028008703,0.0026566738,0.007744849,-0.00797199,0.9997000694274902,-0.0,2000,2,1000.0,0.0,1000,1000,-0.2183489720206445,0.7141252088145769,1.710711235328463,-2.353440058027682,-218.34897202064434,0.0,-218.34897202064434,-218.34897202064434,-0.008309044,0.62713647,0.99942553,-0.99872106,1,-218.34897202064434,0.18492502784606568,0.0,0.18492502784606568,0.18492502784606568,-0.06015669307618307,0.0,-0.06015669307618307,-0.06015669307618307,0.017672531630497625,0.7072493981497815,2.0919961159665856,-2.137552940641818,-0.2783411979675293,0.0,-0.2783411979675293,-0.2783411979675293,-0.276045298576355,0.0,-0.276045298576355,-0.276045298576355,-0.23602150365114216,0.07723818771409632,-0.03325462341308594,-0.48786725997924807,5000,5,1000.0,0.0,1000,1000,-0.0007313649856636058,0.01784896715920953,0.2309637891214453,-0.41889554228035886,-0.731364985663612,0.779769364884799,0.4365573060468599,-1.9450437437887302,-0.0004962204,0.0012123423,0.0010809463,-0.004430327,5,-0.731364985663612,-1.734723475976807e-16,8.777083671441753e-17,-6.938893903907228e-17,-2.7755575615628914e-16,-0.08882039361865254,0.1327683383869046,0.10081911843772731,-0.23779892458964882,-0.0007303353768645886,0.017848952094891086,0.23096480380812237,-0.4188942927658787,-1.0274682608724107e-06,0.0,-1.0274682608724107e-06,-1.0274682608724107e-06,-1.0650260810507462e-06,2.3156457254432993e-08,-1.0348047908337322e-06,-1.1022953913197854e-06,-1.0296087990172965e-06,4.142087885946572e-08,-9.299450539401733e-07,-2.984008642670233e-06,0.00679692899575457,2.362281985988375,0.5943859480321407,0.03794518898939714,0.030419834016356617,31.059772175969556,34.09160206199158,34.781699657964054,0
3000,0.48140547,0.5102093,-17.428493,13.414752,1.2100487,17.236193,10.396578,13.402002,1.2093488,16.840769,10.274339,13.306377,1.3313137,17.252586,8.984116,-4.021103,0.4951403,-2.4857986,-5.123787,0.008204184,0.15074012,0.557704,-0.48631817,-0.10765324,0.016735876,-0.062848225,-0.16838913,0.7412827014923096,-2.997049331665039,3000,3,1000.0,0.0,1000,1000,-0.28172118001957386,0.6314058684215014,1.7686662851016721,-2.466619990414022,-281.72118001957375,0.0,-281.72118001957375,-281.72118001957375,-0.02819016,0.6011604,0.99734265,-0.9956122,1,-281.72118001957375,0.4284964498405852,0.0,0.4284964498405852,0.4284964498405852,0.7317837051517989,0.0,0.7317837051517989,0.7317837051517989,-0.06440806710799185,0.6305185060012476,1.9807985244434079,-2.163974307125448,-0.24781970977783205,0.0,-0.24781970977783205,-0.24781970977783205,-0.22212257385253908,0.0,-0.22212257385253908,-0.22212257385253908,-0.217313112911582,0.07151274264367476,-0.02945760488510132,-0.4392467498779297,10000,10,1000.0,0.0,1000,1000,-0.009978315814283828,0.022783546522970828,0.6044903686655618,-0.3233078334342388,-9.978315814283947,0.2674022775204989,-9.627699050793032,-10.387598658798636,0.08070111,0.0996213,0.34158716,-0.057477232,5,-9.978315814283947,8.326672684688674e-17,1.1102230246251565e-16,2.7755575615628914e-16,0.0,0.24806858186706418,0.14277726149030817,0.3778766009813511,-0.026838233269725342,-0.0001160696115318329,0.023045014228723133,0.6219705170405961,-0.31689668482650796,-0.009871558845043184,0.0,-0.009871558845043184,-0.009871558845043184,-0.016717492043972014,0.002016047065443778,-0.012950615584850313,-0.018269215524196625,-0.009862246202751994,0.0003694085935311615,-0.0034608993679285053,-0.018269215524196625,0.0070591780240647495,2.3688596049905755,0.6355646169977263,0.04665530601050705,0.01565716601908207,34.40024571795948,37.474041590001434,72.2679989770404,1
4000,0.6321792,0.655874,-26.76222,22.81991,2.2401245,31.303194,15.817669,22.787916,2.2134998,31.256987,16.409298,22.71603,2.3910358,31.828617,15.437782,-4.0579576,0.6592905,-1.3097386,-6.5328817,0.105285354,0.16413398,0.9691613,-0.38876307,-0.08450482,0.026280735,-0.026815746,-0.20614882,0.5491815805435181,-6.024997711181641,4000,4,1000.0,0.0,1000,1000,-0.21326566485008466,0.6273327767957801,1.9005395424775906,-2.260323092478842,-213.2656648500848,0.0,-213.2656648500848,-213.2656648500848,0.068873905,0.60345995,0.9994351,-0.9976551,1,-213.2656648500848,0.14783995449707654,0.0,0.14783995449707654,0.14783995449707654,0.5056185631748661,0.0,0.5056185631748661,0.5056185631748661,0.008078843404443386,0.6207705599264062,2.0932350051812953,-1.8921618910017912,-0.252465558052063,0.0,-0.252465558052063,-0.252465558052063,-0.27595067024230957,0.0,-0.27595067024230957,-0.27595067024230957,-0.22134450825452806,0.07518293552239179,-0.02708793878555298,-0.46068797111511234,15000,15,1000.0,0.0,1000,1000,-0.014194121336356745,0.04707002925952684,0.7644129080272345,-0.5288408471356941,-14.19412133635674,1.324420660745661,-11.873966112044746,-15.62979134777778,0.10721886,0.12372877,0.5296418,-0.13563105,5,-14.19412133635674,8.057346874673632e-06,3.5263122057390703e-06,1.2196502564565392e-05,2.3440177507327853e-06,0.24394042002725672,0.1798576074116587,0.5255097900081207,-0.005958856148347933,0.0018886944169765251,0.04834979624028623,0.7956589502788214,-0.5264375897209955,-0.016100659370422366,1.1710302954687098e-07,-0.016100476682186126,-0.016100807487964632,-0.018354467153549194,0.003340852122806934,-0.01429271548986435,-0.023772074282169344,-0.016082815753333275,0.0014973052855807019,-0.0024032574146986008,-0.037262734770774845,0.007127824006602168,2.5104203829541802,0.6484036510228179,0.04556196398334578,0.015866387984715402,36.01579882501392,39.24317903496558,111.5315222540521,2
5000,0.6919746,0.6716889,-32.3161,28.476576,2.4844942,38.392326,20.690693,28.5112,2.5051599,38.31219,21.202194,28.567894,2.6633294,38.025074,19.95937,-3.7494726,0.8953466,-1.0624373,-6.6040773,0.097397625,0.29100576,1.4260302,-1.1235874,-0.060685933,0.0371185,0.046064794,-0.3209955,0.40808773040771484,-8.735318183898926,5000,5,1000.0,0.0,1000,1000,-0.21980885028166405,0.6671283426350791,2.2710728709642867,-2.138780533535863,-219.80885028166415,0.0,-219.80885028166415,-219.80885028166415,0.03895366,0.61723244,0.99959284,-0.9977014,1,-219.80885028166415,0.6214662177794883,0.0,0.6214662177794883,0.6214662177794883,-0.12555570405023045,0.0,-0.12555570405023045,-0.12555570405023045,0.009687132442764132,0.6655198360571999,2.5018707578127364,-2.0034434788064015,-0.08081333637237549,0.0,-0.08081333637237549,-0.08081333637237549,-0.10609915256500245,0.0,-0.10609915256500245,-0.10609915256500245,-0.2294959827244282,0.07690700695390915,-0.03823998272418976,-0.4412078380584717,20000,20,1000.0,0.0,1000,1000,0.004498994948753943,0.15330239817412425,1.389820524914348,-1.0128875578859062,4.498994948753948,23.6635844776381,51.718332042260506,-9.572102260143476,0.0044306796,0.17935795,0.89629227,-0.6094201,5,4.498994948753948,4.297411915210603e-08,5.04893921645566e-08,1.3249145780491745e-07,-1.214472078459039e-08,0.39481717086220175,0.11614627361662974,0.565151809470944,0.2453571209630484,0.023812339010724656,0.16036210693913033,1.5126403181386827,-0.9773644144752236,-0.01680476814508438,2.4934411846301086e-09,-0.01680476516485214,-0.01680477112531662,-0.05104335725307465,0.008969934713041685,-0.036771181225776675,-0.06158397197723389,-0.01931334406197071,0.010929883122003823,-0.005830550193786622,-0.12351303100585938,0.010891988989897072,3.039163366018329,1.0534270140342414,0.05271349899703637,0.024677467008586973,41.34524102997966,45.52611436502775,157.070499572088,3
6000,0.82722306,0.89384556,-36.016266,32.622635,2.5064073,42.758648,21.420612,32.735455,2.4766793,43.330082,22.385508,32.48808,2.6729062,43.257652,22.430466,-3.1844168,1.2816347,1.1841897,-6.329464,0.09682252,0.43007287,1.8546176,-1.5009353,-0.0627523,0.071164936,0.13612492,-0.50072086,0.30451488494873047,-10.91795539855957,6000,6,1000.0,0.0,1000,1000,-0.21041308915624563,0.6932802609016471,1.8151606247920822,-2.333476165066444,-210.41308915624563,0.0,-210.41308915624563,-210.41308915624563,0.024278056,0.63368845,0.9991367,-0.9992763,1,-210.41308915624563,-1.8465152960617903,0.0,-1.8465152960617903,-1.8465152960617903,0.5632632007541882,0.0,0.5632632007541882,0.5632632007541882,0.030877205407524644,0.6874400049032092,2.065983621885283,-2.1251850397688976,-0.21723599433898927,0.0,-0.21723599433898927,-0.21723599433898927,-0.3426116228103638,0.0,-0.3426116228103638,-0.3426116228103638,-0.2412902945637703,0.07199549803303527,-0.05133272409439087,-0.48034577369689946,25000,25,1000.0,0.0,1000,1000,-0.012160008967275109,0.22929114324335484,1.3507093612621581,-0.5981691306133129,-12.160008967275107,21.07203656667851,-0.25716752158123907,-54.278363985952765,-0.006957665,0.25075728,0.86337066,-0.81200695,5,-12.160008967275107,-0.08824398656595811,0.16094623972679986,0.08483536611625375,-0.3723001048721608,0.4748670529721437,0.14553834849135908,0.6814332132279194,0.2725373184751928,0.02559655870465717,0.23674254745516843,1.3701261316011704,-0.5769758587379314,-0.0398521900177002,0.006921803039266663,-0.029050531983375552,-0.050549501180648805,-0.11570979833602908,0.006483304052092457,-0.10700249671936035,-0.1250757932662964,-0.037756567671932285,0.01992481793639305,-0.0028223754838109017,-0.1729091286659241,0.0075420489883981645,4.762087860959582,0.8071587920421734,0.04719014000147581,0.017634187010116875,34.25159301998792,39.89320604898967,196.98017802112736,4
7000,0.7846686,0.7890927,-37.421165,34.337463,2.4181335,47.340927,27.108475,34.32478,2.4399683,47.913456,27.874916,34.284996,2.6386855,47.151382,27.626833,-2.8432422,2.0840385,5.4934516,-7.4594736,0.15638916,0.5711198,1.9714534,-1.7002118,-0.0796879,0.09503164,0.14355886,-0.7927675,0.22813212871551514,-13.066303253173828,7000,7,1000.0,0.0,1000,1000,-0.21321432740998456,0.6477518135582618,1.6059300367724902,-2.2465990338262376,-213.2143274099847,0.0,-213.2143274099847,-213.2143274099847,0.033523932,0.6408308,0.9970862,-0.99863833,1,-213.2143274099847,-1.1382176157163215,0.0,-1.1382176157163215,-1.1382176157163215,0.6534264700547341,0.0,0.6534264700547341,0.6534264700547341,0.03385846695589832,0.6429744626423679,1.9389033024203783,-1.914211753362065,-0.2613269805908203,0.0,-0.2613269805908203,-0.2613269805908203,-0.25431902408599855,0.0,-0.25431902408599855,-0.25431902408599855,-0.2470727943658829,0.0770432872209306,-0.05745719075202942,-0.4883128643035889,30000,30,1000.0,0.0,1000,1000,-0.0019758550469705753,0.40365527106942045,1.651333171637248,-2.9915400955566493,-1.9758550469706093,41.42199113331253,50.709537910048574,-47.85116162097024,0.055388134,0.40867326,0.95979804,-0.969071,5,-1.9758550469706093,-0.07976836972373036,0.09983512498478526,0.08122362275914341,-0.2092223483052713,0.50353717471145,0.12216140191909336,0.6770478780518902,0.34670101247068985,0.10007314686148076,0.387850242688125,1.7910530274226177,-2.659684345472726,-0.106966210603714,0.02219782557614003,-0.082743638753891,-0.14444689750671388,-0.175767035484314,0.015489474458666231,-0.15186326503753664,-0.1959641695022583,-0.10204900190845133,0.04418742784128837,-0.008629555255174637,-0.3910735607147217,0.006539202993735671,2.5932881110347807,0.602722906973213,0.09996027295710519,0.022068035032134503,39.72525584802497,43.04983437701594,240.04412559902994,5
8000,0.99067837,1.0337055,-37.57255,34.81604,2.5261152,46.793133,29.373001,34.784107,2.5507472,46.22555,28.945286,34.79567,2.892433,46.709038,27.015892,-2.601739,2.0932653,5.5256853,-6.6607237,0.13618214,0.6115826,2.1412878,-2.0246015,-0.046749797,0.09428107,0.2542532,-0.77215654,0.1712704747915268,-15.175434112548828,8000,8,1000.0,0.0,1000,1000,-0.16958438705598383,0.6563968681980195,2.356225088335953,-2.6871587389392624,-169.58438705598405,0.0,-169.58438705598405,-169.58438705598405,0.053256977,0.6534324,0.99922967,-0.99993753,1,-169.58438705598405,-0.07848577829580705,0.0,-0.07848577829580705,-0.07848577829580705,0.603567383980535,0.0,0.603567383980535,0.603567383980535,0.08830175790990324,0.6470844079255963,2.542651501395188,-2.3071551435870896,-0.3126792192459107,0.0,-0.3126792192459107,-0.3126792192459107,-0.19068385362625123,0.0,-0.19068385362625123,-0.19068385362625123,-0.2578861449658871,0.0791083675165263,-0.05048487186431885,-0.4817891597747803,35000,35,1000.0,0.0,1000,1000,0.011640930287707678,0.42070864144124653,1.6790905434426207,-2.6866768669833525,11.640930287707688,33.54645344458616,35.373097629759584,-54.76539660154496,0.045340806,0.42263654,0.9882521,-0.9790742,5,11.640930287707688,0.06525025569524523,0.43266942393033364,0.5668338785236848,-0.5692260331582943,0.5330468321508869,0.12860381169056367,0.6463658302036814,0.287556641628699,0.12004738340692601,0.4118784554572993,1.8434840280350584,-2.3710561823596343,-0.11109764933586122,0.06195919378030964,-0.02942386269569397,-0.19814891815185548,-0.1750990915298462,0.01889826745052003,-0.14356201887130737,-0.19967223405838014,-0.10840645311921834,0.053280220711447966,-0.014611223340034486,-0.4669204711914063,0.0069655810366384685,4.303045346983708,0.6171601669630036,0.046571929997298867,0.019727906968910247,41.75960627902532,46.75307721097488,286.81614585005445,6
9000,0.7235704,0.8695264,-37.418514,35.45781,4.0378466,50.64141,29.949795,35.43885,4.066318,50.947773,29.628567,35.44725,4.1645164,53.31565,29.718914,-1.7072748,2.820494,9.566547,-7.3211884,0.07933758,0.7934572,2.743328,-2.3318505,-0.08676816,0.1261238,0.27417496,-0.7342732,0.12902340292930603,-15.780513763427734,9000,9,1000.0,0.0,1000,1000,-0.15728346789612097,0.677629481592115,1.9026695278344516,-2.200107757335006,-157.2834678961211,0.0,-157.2834678961211,-157.2834678961211,-0.03598432,0.66486436,0.9994602,-0.9998016,1,-157.2834678961211,1.1624400789554912,0.0,1.1624400789554912,1.1624400789554912,0.8910839082101957,0.0,0.8910839082101957,0.8910839082101957,0.10872023857699119,0.6750116595462483,2.3301038292107945,-1.9036177765105666,-0.32345855236053467,0.0,-0.32345855236053467,-0.32345855236053467,-0.3847911596298218,0.0,-0.3847911596298218,-0.3847911596298218,-0.26600370647311206,0.08031768684747444,-0.03798459172248841,-0.49073567390441897,40000,40,1000.0,0.0,1000,1000,0.08039497305510693,0.4540632080185984,2.0381242016944547,-1.2373733670844216,80.3949730551069,11.184490161228965,97.2735898431947,63.4753769361306,-0.057615023,0.52241653,0.95688623,-0.96547097,5,80.3949730551069,0.36106476053214465,0.12920227153739094,0.5435217201407738,0.20674413535736846,0.8003254990542678,0.11423239739752693,0.9065504802868452,0.5835744457123578,0.24613810353694607,0.44366914822943715,2.126230535903897,-0.9493385935807286,-0.1992902600765228,0.06480215166905688,-0.0975946843624115,-0.2798867464065552,-0.2559842205047608,0.01400538479009895,-0.23080446720123293,-0.27181420326232913,-0.16574313048183917,0.0697573389272622,-0.010063357651233673,-0.39367630481719973,0.007160573964938521,3.037811018002685,1.163156106020324,0.043851425987668335,0.020847890991717577,41.8078328850097,46.080659899977036,332.91442765208194,7
10000,0.6272077,0.7032546,-35.568447,34.05016,4.443742,51.821888,28.268946,34.112064,4.5252085,52.557545,27.969519,34.040817,4.5708146,52.37986,27.711607,-1.1903322,2.9356997,9.301205,-7.1799736,0.06285343,0.8856754,2.5762477,-2.940566,-0.13845213,0.13578328,0.22458288,-0.7330481,0.09774985164403915,-16.718032836914062,10000,10,1000.0,0.0,1000,1000,-0.10395670745199177,0.7624662049515534,2.2558050056287735,-3.1469154994245883,-103.95670745199166,0.0,-103.95670745199166,-103.95670745199166,0.0062050493,0.70062745,0.99959695,-0.9997189,1,-103.95670745199166,1.511393527174505,0.0,1.511393527174505,1.511393527174505,0.24446043518735583,0.0,0.24446043518735583,0.24446043518735583,0.19059367363328483,0.7481792848970318,2.6077628513166395,-2.8212193886991854,-0.30018248558044436,0.0,-0.30018248558044436,-0.30018248558044436,-0.337967324256897,0.0,-0.337967324256897,-0.337967324256897,-0.29455038108527665,0.08882441048281436,-0.03930131494998932,-0.5908553123474122,45000,45,1000.0,0.0,1000,1000,0.3416711336383077,0.7945697531601625,2.6817663013653203,-2.5215374901962733,341.67113363830765,11.354064992427759,364.22041449137015,333.6560310010199,0.0045345295,0.5844338,0.9953836,-0.99879676,5,341.67113363830765,0.6681502585201855,0.5119680698307311,1.6035075376213115,0.08386425208321668,0.5550866390732206,0.2232412829952939,0.7557349242942257,0.13024059671726151,0.5466211692425462,0.7882319561208153,2.901007586689417,-2.1130757287216637,-0.2213613247871399,0.059076749196352474,-0.11631492376327515,-0.27797172069549564,-0.21520731210708618,0.03782704831266272,-0.15072072744369508,-0.2525839328765869,-0.20495003560423852,0.07169184867471354,-0.021463921666145327,-0.5252648830413819,0.008780228032264858,3.521289212978445,0.7356504650088027,0.04050288500729948,0.01669019303517416,41.62570388597669,45.94861687003868,378.87486325914506,8
11000,0.9263393,0.9991117,-33.69518,32.670197,4.931308,48.63298,26.568035,32.72879,4.8712616,48.376205,26.511393,32.642418,4.9015336,47.698875,26.075523,-0.81014967,3.3174741,13.342674,-7.616208,0.04142204,0.95333385,2.9381237,-3.0864525,-0.15707631,0.15442395,0.36335075,-0.81467074,0.07391747832298279,-17.73724365234375,11000,11,1000.0,0.0,1000,1000,-0.043087832924970496,0.7710836326312168,2.274944304280633,-2.9305330284789006,-43.08783292497051,0.0,-43.08783292497051,-43.08783292497051,0.04583956,0.71747655,0.9998717,-0.9999198,1,-43.08783292497051,-0.11584349771574409,0.0,-0.11584349771574409,-0.11584349771574409,0.6692574112270652,0.0,0.6692574112270652,0.6692574112270652,0.26703646348094096,0.7626271269861047,2.695915985819628,-2.554420281286518,-0.12785613536834717,0.0,-0.12785613536834717,-0.12785613536834717,-0.3719928503036499,0.0,-0.3719928503036499,-0.3719928503036499,-0.3101242964059115,0.09489505229551287,-0.027133896946907043,-0.5705540180206299,50000,50,1000.0,0.0,1000,1000,-0.12159941653385822,0.9440484054375176,2.7452843072016884,-5.2928894801628354,-121.59941653385825,77.1071941635705,-12.364356742898083,-243.54686962935838,0.13028802,0.71255517,0.9993663,-0.99981403,5,-121.59941653385825,0.7774729158605993,0.5113471751574659,1.5044846665668032,0.2063711486101738,0.5981150953178908,0.1300979656044932,0.7547928241628182,0.37686361501287624,0.1932264828930789,0.9207353325489208,3.195767724712675,-4.7830466075432065,-0.2942953777313232,0.08145500764364304,-0.17282497882843018,-0.4165944576263428,-0.2686748504638672,0.020673688207884434,-0.23998026847839357,-0.29766948223114015,-0.3148258994269371,0.10035117949754584,-0.031019228696823123,-0.573004150390625,0.007913185050711036,3.5954379179747775,0.7370716969599016,0.044316215033177286,0.01693547604372725,36.310841460945085,40.71251595200738,419.6462429081439,9
