replay_buffer/size,trainer/QF Loss,trainer/Y Predictions Mean,trainer/Y Predictions Std,trainer/Y Predictions Max,trainer/Y Predictions Min,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
2000,0.9945913,0.0015493279,0.00046105182,0.001918998,-0.00050702755,2000,200,9.900990099009901,1.5638550393372097,14,2,1.0,0.0,1.0,1.0,9.900990099009901,1.5638550393372097,14.0,2.0,0.053,0.22403347964087864,1,0,101,9.900990099009901,4997,534,9.357677902621722,0.7603019316951792,11,8,1.0,0.0,1.0,1.0,9.357677902621722,0.7603019316951792,11.0,8.0,0.0,0.0,0,0,534,9.357677902621722,0.018213298986665905,2.002782439987641,0.36296115297591314,0.04881004098569974,0.0315369029995054,3.9609231580398045,6.42522699397523,13.50325484800851,0
3000,0.023001917,1.4090295,0.10607163,1.6549213,1.2176894,3000,282,12.195121951219512,2.172101513541184,18,1,1.0,0.0,1.0,1.0,12.195121951219512,2.172101513541184,18.0,1.0,0.608,0.4881966816765555,1,0,82,12.195121951219512,9986,950,11.992788461538462,1.256692053285108,15,9,1.0,0.0,1.0,1.0,11.992788461538462,1.256692053285108,15.0,9.0,0.6057326117458408,0.48869276116329297,1,0,416,11.992788461538462,0.01961188903078437,2.0014904929557815,0.3702467989642173,0.04204696899978444,0.015456762979738414,4.017175693996251,6.466028606926557,19.99069771799259,1
4000,0.0586125,2.0095372,0.09717292,2.216522,1.7870711,4000,307,40.0,6.962758074211684,50,22,1.0,0.0,1.0,1.0,40.0,6.962758074211684,50.0,22.0,0.548,0.4976906669810074,1,0,25,40.0,14970,1067,42.598290598290596,5.014610838766114,54,32,1.0,0.0,1.0,1.0,42.598290598290596,5.014610838766114,54.0,32.0,0.5513643659711075,0.497354704319147,1,0,117,42.598290598290596,0.010474275972228497,1.5250297480379231,0.3069265740341507,0.023876695020589978,0.015793532016687095,3.3787109160330147,5.260811741114594,25.262225616083015,2
5000,0.23072146,2.74235,0.17038961,3.0612297,2.286049,5000,348,24.390243902439025,5.647697777361501,36,4,1.0,0.0,1.0,1.0,24.390243902439025,5.647697777361501,36.0,4.0,0.483,0.49971091643069,1,0,41,24.390243902439025,19946,1259,25.916666666666668,4.539563733321616,37,18,1.0,0.0,1.0,1.0,25.916666666666668,4.539563733321616,37.0,18.0,0.4795016077170418,0.49957963921062076,1,0,192,25.916666666666668,0.019080570025835186,1.7709538849885575,0.5514953010133468,0.03187432198319584,0.014562651980668306,4.13129398599267,6.519260715984274,31.793852539092768,3
6000,0.43507722,3.4982634,0.26879844,3.959221,2.9091551,6000,438,11.11111111111111,1.6427919625134417,15,5,1.0,0.0,1.0,1.0,11.11111111111111,1.6427919625134417,15.0,5.0,0.668,0.47093099282166595,1,0,90,11.11111111111111,24941,1726,10.69593147751606,1.2963647656362163,14,8,1.0,0.0,1.0,1.0,10.69593147751606,1.2963647656362163,14.0,8.0,0.6710710710710711,0.46982410393954516,1,0,467,10.69593147751606,0.019798739987891167,1.8360124110477045,0.5533769819885492,0.03700963204028085,0.014932374004274607,4.310282301041298,6.771412440109998,38.57525775814429,4
7000,0.7508055,4.264636,0.3066744,4.9231257,3.6401062,7000,535,10.309278350515465,1.4022134545088085,14,7,1.0,0.0,1.0,1.0,10.309278350515465,1.4022134545088085,14.0,7.0,0.713,0.4523615810388853,1,0,97,10.309278350515465,29934,2214,10.23155737704918,1.1759492297587382,13,8,1.0,0.0,1.0,1.0,10.23155737704918,1.1759492297587382,13.0,8.0,0.7077909072701782,0.4547779005798723,1,0,488,10.23155737704918,0.020229750021826476,2.176265106012579,0.38332296803127974,0.03659877699101344,0.01505791099043563,4.028498103027232,6.659972615074366,45.2458968872088,5
8000,1.0392505,5.0389595,0.43383962,6.0571275,4.1778765,8000,635,10.0,1.489966442575134,17,7,1.0,0.0,1.0,1.0,10.0,1.489966442575134,17.0,7.0,0.948,0.2220270253820467,1,0,100,10.0,34930,2749,9.338317757009346,0.7633723580104328,11,8,1.0,0.0,1.0,1.0,9.338317757009346,0.7633723580104328,11.0,8.0,1.0,0.0,1,1,535,9.338317757009346,0.0204612230299972,2.173614937986713,0.38616916799219325,0.03731665603118017,0.015006614965386689,4.611002271005418,7.243570871010888,52.50252200424438,6
9000,1.3672711,5.615494,0.6230434,7.3806868,3.9605412,9000,720,11.764705882352942,2.015510788119037,16,8,1.0,0.0,1.0,1.0,11.764705882352942,2.015510788119037,16.0,8.0,0.616,0.4863578929142613,1,0,85,11.764705882352942,39921,3173,11.77122641509434,1.8776295788916029,18,9,1.0,0.0,1.0,1.0,11.77122641509434,1.8776295788916029,18.0,9.0,0.6068924063313965,0.4884403888589514,1,0,424,11.77122641509434,0.019052486983127892,2.306175588979386,0.5778891550144181,0.04948027798673138,0.020577143994159997,3.8130256480071694,6.7862003009649925,59.299659885291476,7
10000,2.1257656,6.3257294,0.89502025,8.85809,3.7765973,10000,799,12.658227848101266,2.157624549109665,19,9,1.0,0.0,1.0,1.0,12.658227848101266,2.157624549109665,19.0,9.0,0.592,0.4914631217090454,1,0,79,12.658227848101266,44920,3572,12.528822055137844,2.199007834126828,19,9,1.0,0.0,1.0,1.0,12.528822055137844,2.199007834126828,19.0,9.0,0.5913182636527305,0.4915902508425593,1,0,399,12.528822055137844,0.019501960021443665,2.0359758519916795,0.5601528590195812,0.21492868999484926,0.014461448008660227,3.8168334580259398,6.661854267062154,65.9930638333899,8
11000,2.6521087,6.8210716,1.2563777,10.535676,3.7449052,11000,878,12.658227848101266,2.676130192805413,20,2,1.0,0.0,1.0,1.0,12.658227848101266,2.676130192805413,20.0,2.0,0.593,0.4912748721438947,1,0,79,12.658227848101266,49912,3946,13.3475935828877,2.6319777817035765,22,9,1.0,0.0,1.0,1.0,13.3475935828877,2.6319777817035765,22.0,9.0,0.5779246794871795,0.49389041732637445,1,0,374,13.3475935828877,0.015219408960547298,1.7815042110159993,0.30962844501482323,0.03287746902788058,0.014082797977607697,3.4395449080038816,5.59285724000074,71.59900659823325,9
